GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GameVerseAcademy,ma.ac.esi.gameverseacademy.service,UserService,14,0,0,0,4,0,2,0,2,0
GameVerseAcademy,ma.ac.esi.gameverseacademy.service,ModService,94,0,18,0,23,0,16,0,7,0
GameVerseAcademy,ma.ac.esi.gameverseacademy.service,ClientService,62,84,23,19,12,18,15,12,1,5
GameVerseAcademy,ma.ac.esi.gameverseacademy.repository,UserRepository,33,0,2,0,13,0,3,0,2,0
GameVerseAcademy,ma.ac.esi.gameverseacademy.repository,ClientRepository,311,3,16,0,84,1,15,1,7,1
GameVerseAcademy,ma.ac.esi.gameverseacademy.repository,ModRepository,301,0,16,0,84,0,14,0,6,0
GameVerseAcademy,ma.ac.esi.gameverseacademy.controller,ModDeleteController,39,0,6,0,11,0,5,0,2,0
GameVerseAcademy,ma.ac.esi.gameverseacademy.controller,ModUpdateController,159,0,18,0,46,0,12,0,3,0
GameVerseAcademy,ma.ac.esi.gameverseacademy.controller,ClientController,26,0,2,0,8,0,3,0,2,0
GameVerseAcademy,ma.ac.esi.gameverseacademy.controller,LogoutController,17,0,2,0,6,0,3,0,2,0
GameVerseAcademy,ma.ac.esi.gameverseacademy.controller,ModController,26,0,2,0,8,0,3,0,2,0
GameVerseAcademy,ma.ac.esi.gameverseacademy.controller,ModSubmitController,80,0,6,0,23,0,6,0,3,0
GameVerseAcademy,ma.ac.esi.gameverseacademy.controller,ClientAddController,138,0,12,0,27,0,10,0,4,0
GameVerseAcademy,ma.ac.esi.gameverseacademy.controller,LoginController,39,0,2,0,14,0,3,0,2,0
GameVerseAcademy,ma.ac.esi.gameverseacademy.controller,ClientDeleteController,39,0,6,0,11,0,5,0,2,0
GameVerseAcademy,ma.ac.esi.gameverseacademy.controller,ClientEditController,189,0,18,0,41,0,13,0,4,0
GameVerseAcademy,ma.ac.esi.gameverseacademy.model,User,29,0,0,0,11,0,6,0,6,0
GameVerseAcademy,ma.ac.esi.gameverseacademy.model,Mod,81,53,0,0,26,14,13,14,13,14
GameVerseAcademy,ma.ac.esi.gameverseacademy.model,Client,4,120,0,0,1,36,1,24,1,24
GameVerseAcademy,ma.ac.esi.gameverseacademy.util,DBUtil,28,0,0,0,11,0,3,0,3,0
GameVerseAcademy,ma.ac.esi.gameverseacademy.util,SessionUtil,35,0,6,0,10,0,6,0,3,0
